Median Age,Median Household Income,White Alone Population,Black Alone Population,Asian Alone Population,Other Race Alone Population,Marital Status Universe,Married Male Population,Married Female Population,Women With Birth Last 12 Months,Education Population Total,Bachelors Degree Population,Masters Degree Population,Professional School Degree Population,Doctorate Degree Population,Total Population,State Code,Zip Code Tabulation Area,Zip,Census Release
33.6,103112,11004,693,2859,104,14342,3196,2984,59,12027,4790,3575,1321,781,15083,17,60601,60601,acs2019_5yr
34.1,191528,734,49,245,0,998,356,304,0,907,436,169,131,125,1145,17,60602,60602,acs2019_5yr
31.2,146250,661,41,337,0,1047,208,190,0,707,295,202,138,38,1052,17,60603,60603,acs2019_5yr
32.2,91750,532,41,240,0,806,157,147,0,589,168,282,58,33,823,17,60604,60604,acs2019_5yr
33.6,111438,18370,4452,4377,528,26710,5560,5812,317,22457,7902,5213,2741,1163,29060,17,60605,60605,acs2019_5yr
36.3,140558,2318,58,667,53,3168,582,623,28,2991,1456,802,331,195,3287,17,60606,60606,acs2019_5yr
30.2,102726,17141,4201,6345,345,26394,4143,4011,375,19765,8304,4355,1808,1017,29293,17,60607,60607,acs2019_5yr
32.6,50133,36060,13612,9987,18075,67368,12230,11897,901,54904,10285,4011,831,718,80059,17,60608,60608,acs2019_5yr
32.3,37353,26724,15282,3799,13169,47601,8900,8571,831,38428,3675,1485,190,232,60939,17,60609,60609,acs2019_5yr
33.4,92130,29332,6041,3565,318,37431,5750,5708,510,32999,13994,6690,3177,1137,40548,17,60610,60610,acs2019_5yr
38.9,106906,24941,967,6205,447,31553,7083,7132,309,28418,11002,7179,4378,1505,33224,17,60611,60611,acs2019_5yr
32.5,43545,9902,20122,1490,1083,27324,3523,3398,607,22020,4597,2188,732,282,33735,17,60612,60612,acs2019_5yr
33.6,84318,41492,3052,3542,757,45462,8457,7969,694,39285,17679,8298,2548,1112,50761,17,60613,60613,acs2019_5yr
30.5,117138,60415,3083,5247,980,63067,11800,11632,744,51562,24721,11718,5703,1534,71954,17,60614,60614,acs2019_5yr
35.3,45077,12617,22248,3491,383,35361,5394,5552,423,28695,7285,5877,1592,2505,40590,17,60615,60615,acs2019_5yr
38.0,52162,17058,12816,21414,1477,47505,9417,9390,545,40977,9280,6275,2013,1048,54197,17,60616,60616,acs2019_5yr
36.0,41125,30797,47366,220,3743,65891,10347,10594,1193,52745,6119,2549,332,143,83553,17,60617,60617,acs2019_5yr
34.4,78704,72390,2744,5866,9650,76585,17802,17651,1078,67297,20311,9318,2037,840,94907,17,60618,60618,acs2019_5yr
40.9,35629,1103,58587,145,332,50480,5682,6163,1005,43537,6368,3231,438,343,61207,17,60619,60619,acs2019_5yr
40.3,36767,1437,64795,298,558,55296,7176,7127,832,46061,4884,2174,318,221,67711,17,60620,60620,acs2019_5yr
34.6,22158,621,26617,68,429,21722,2338,1988,435,17907,1280,473,59,14,28018,17,60621,60621,acs2019_5yr
32.0,101161,42829,3441,2487,2698,46446,8148,7899,755,42061,18445,7300,2469,884,53294,17,60622,60622,acs2019_5yr
31.3,32460,30895,24758,80,24316,61795,11119,10638,1150,49010,3774,939,165,187,81283,17,60623,60623,acs2019_5yr
32.1,23429,1562,31641,53,1176,26454,2955,2843,491,21103,1318,628,30,31,34892,17,60624,60624,acs2019_5yr
34.9,68770,51854,3838,10787,8626,65562,14605,14535,1470,56639,17130,8211,1951,844,79444,17,60625,60625,acs2019_5yr
33.7,42747,28822,13746,2735,3352,42748,6975,7005,635,34717,9257,5216,788,790,50544,17,60626,60626,acs2019_5yr
39.2,41169,3018,59837,135,466,52556,7085,6822,1152,43334,5153,2682,316,266,64254,17,60628,60628,acs2019_5yr
31.2,43506,48174,21547,678,36863,84310,18001,17797,1179,66332,4663,1576,141,92,110029,17,60629,60629,acs2019_5yr
40.5,73212,39885,955,6330,6138,46902,11888,11821,530,41243,10421,4173,896,357,56433,17,60630,60630,acs2019_5yr
43.2,93989,25975,349,1031,1082,24319,6761,6625,320,22155,5614,2861,599,371,29529,17,60631,60631,acs2019_5yr
30.9,44924,47166,1709,6212,32062,68329,16255,15826,1430,54645,4719,1027,153,93,89857,17,60632,60632,acs2019_5yr
39.6,51538,8695,2964,34,770,10431,2377,1968,114,8712,778,322,71,46,12689,17,60633,60633,acs2019_5yr
39.7,70083,58097,1395,4313,9058,61544,16266,15563,678,53038,9290,3798,484,419,75082,17,60634,60634,acs2019_5yr
41.3,26724,1675,26419,24,1466,24514,3254,3002,335,20553,1246,507,52,18,30024,17,60636,60636,acs2019_5yr
30.6,28965,7881,35681,2218,389,38151,4227,4471,494,28232,3869,3059,875,1683,47300,17,60637,60637,acs2019_5yr
37.8,68089,43528,2315,322,10040,46436,11810,11629,978,39853,5841,1972,252,196,58669,17,60638,60638,acs2019_5yr
