Movie Name,Address,Rating,Year,Date,Closed Captioning,Zip,Park Name
Fireproof ,"Beverly Park Fieldhouse, 2460, West 102nd Street, Beverly, Chicago, Lake Township, Cook County, Illinois, 60643, United States",PG,2014,2014-07-16,Y,60655,Beverly Park
The Goonies,"2312, West Palmer Street, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",PG,2014,2014-08-28,Y,60647,Holstein Park
Despicable Me 2,"1119, West Cullerton Street, Pilsen, Lower West Side, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",PG,2014,2014-06-20,Y,60608,Dvorak Park
Cloudy With a Chance of Meatballs 2,"7600-7612, North Bosworth Avenue, Jarvis Square, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",PG,2014,2014-08-27,Y,60626,White (Willye B.) Park
Despicable Me 2,"Skinner North Classical School, 640, West Scott Street, River North, Near North Side, Chicago, North Chicago Township, Cook County, Illinois, 60610, United States",PG,2014,2014-08-15,Y,60610,Stanton Park
@home,"Austin Town Hall, 5610, West Lake Street, Austin, Chicago, West Chicago Township, Cook County, Illinois, 60644, United States",NR,2014,2014-05-29,N,60644,Austin Town Hall Park
Despicable Me 2,"Cragin Park Fieldhouse, 2611, North Lockwood Avenue, Beat 2514, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",PG,2014,2014-08-01,Y,60639,Cragin Park
The Nut Job,"5215, West 64th Street, Clearing, Chicago, Lake Township, Cook County, Illinois, 60638, United States",PG,2014,2014-08-12,Y,60638,Lawler Park
The Hunger Games: Catching Fire,"West Bloomingdale Avenue, Beat 2531, Austin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",PG-13,2014,2014-07-25,Y,60639,Galewood Park
Patang,"2543, West Irving Park Road, North Center, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",NR,2014,2014-06-22,N,60618,Revere Park
@home,"Home Run Inn Pizzeria, 4254, West 31st Street, South Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",NR,2014,2014-06-04,N,60623,Piotrowski Park
High Anxiety,"Columbus Dr & Randolph St, East Randolph Drive, New East Side, Loop, Chicago, South Chicago Township, Cook County, Illinois, 60603, United States",PG,2014,2014-06-23,N,60602,Grant Park
Cloudy with a Chance of Meatballs 2,"West Lawn Park Fieldhouse, 4233, West 65th Street, West Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",PG,2014,2014-06-26,Y,60629,West Lawn Park
The Wizard of Oz,"North Larrabee Street, Mid-North District, Lincoln Park, Chicago, North Chicago Township, Cook County, Illinois, 60614, United States",PG,2014,2014-08-23,Y,60614,Oz Park
A League of Their Own,"6528, North Hiawatha Avenue, Edgebrook, Forest Glen, Chicago, Jefferson Township, Cook County, Illinois, 60646, United States",PG,2014,2014-06-07,N,60646,Edgebrook Park
Willy Wonka & the Chocolate Factory,"Armour Square Park Field House, 3309, South Shields Avenue, Armour Square, Chicago, South Chicago Township, Cook County, Illinois, 60616, United States",G,2014,2014-06-28,Y,60616,Armour Square Park
The Wizard of Oz,"Ravenswood Manor Child Care, 2758, West Montrose Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",PG,2014,2014-08-30,Y,60618,Horner Park
Ghostbusters,"West Wrightwood Avenue, Wrightwood Neighbors, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",PG,2014,2014-07-20,Y,60614,Jonquil Playlot Park
The Muppet Movie,"South Cottage Grove Avenue, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",G,2014,2014-08-28,Y,60653,Mandrake Park
The Lego Movie,"River North, Near North Side, Chicago, North Chicago Township, Cook County, Illinois, 60661, United States",PG,2014,2014-08-26,Y,60606,"Ward, A. Montgomery Park"
Gravity,"West 83rd Street, South Englewood, Auburn Gresham, Chicago, Lake Township, Cook County, Illinois, 60620, United States",PG-13,2014,2014-07-10,N,60620,O'Hallaren Park
The Perfect Game,"Ceramics Building, 3546, West Addison Street, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",PG,2014,2014-07-25,N,60618,Athletic Field Park
Monster University,"West Lawrence Avenue, Jefferson Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",PG,2014,2014-06-12,N,60630,Jefferson Memorial Park
Newsies,"Ceramics Building, 3546, West Addison Street, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",PG,2014,2014-06-27,N,60618,Athletic Field Park
The Goonies,"2520, North Greenview Avenue, West DePaul, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",PG,2014,2014-08-08,Y,60614,Wrightwood Park
42,"Ada Park Fieldhouse, 11250, South Ada Street, Morgan Park, Chicago, Lake Township, Cook County, Illinois, 60643, United States",PG-13,2014,2014-08-02,Y,60643,Ada Park
Monster University,"4105, North Long Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",G,2014,2014-06-25,N,60641,Portage Park
Patang,"East Midway Plaisance, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",NR,2014,2014-06-15,N,60637,Midway Plaisance Park
The Hunger Games: Catching Fire,"4311, West 15th Street, North Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",PG-13,2014,2014-08-08,Y,60623,Franklin Park
The Help,"Hamilton Park Fieldhouse, 513, West 72nd Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",PG-13,2014,2014-08-24,Y,60621,Hamilton Park
The Nut Job,"Can't Believe It's Not Meat, 1368 1/2, East 53rd Street, East Hyde Park, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",PG,2014,2014-08-20,Y,60615,Nichols Park
The Nut Job,"West Thorndale Avenue, Sauganash, Forest Glen, Chicago, Jefferson Township, Cook County, Illinois, 60646, United States",PG,2014,2014-08-02,Y,60646,Sauganash Park
Chicago ,"River North, Near North Side, Chicago, North Chicago Township, Cook County, Illinois, 60661, United States",PG-13,2014,2014-07-15,Y,60606,"Ward, A. Montgomery Park"
Annie,"7327, North Rogers Avenue, Jarvis Square, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",NR,2014,2014-07-23,N,60626,Pottawattomie Park
ET,"4105, North Long Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",PG,2014,2014-07-30,N,60641,Portage Park
Lee Daniels' The Butler,"8035, South Damen Avenue, Auburn Gresham, Chicago, Lake Township, Cook County, Illinois, 60620, United States",PG-13,2014,2014-08-01,Y,60620,Dawes Park
Mr. Peabody & Sherman,"West Wrightwood Avenue, Wrightwood Neighbors, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",PG,2014,2014-08-02,Y,60614,Jonquil Playlot Park
The Smurfs 2,"Whitney M. Young Magnet High School, 211, South Laflin Street, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",PG,2014,2014-07-16,Y,60607,Skinner Park
Back to the Future,"800, South Loomis Street, Roosevelt Square, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",PG,2014,2014-08-21,Y,60607,Arrigo Park
Latino Film Festival Selection,"9801, South Avenue G, East Side, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",NR,2014,2014-07-16,N,60617,Calumet Park
"It's a Mad, Mad, Mad, Mad World","West 55th Street, Gage Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States",G,2014,2014-06-09,N,60629,Gage Park
Turbo,"4352, West 79th Street, Ashburn, Chicago, Lake Township, Cook County, Illinois, 60652, United States",PG,2014,2014-07-24,Y,60652,Rainey Park
Big Fish,"3113, South Rhodes Avenue, Lake Meadows, Douglas, Chicago, South Chicago Township, Cook County, Illinois, 60616, United States",PG-13,2014,2014-08-04,Y,60616,Lake Meadows Park
Life of Pi,"South Kedzie Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",PG,2014,2014-07-27,Y,60629,Marquette Park
The Wizard of Oz,"Home Run Inn Pizzeria, 4254, West 31st Street, South Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",PG,2014,2014-08-17,Y,60623,Piotrowski Park
Free Birds,"6924, North Hiawatha Avenue, North Edgebrook, Forest Glen, Chicago, Jefferson Township, Cook County, Illinois, 60646, United States",PG,2014,2014-07-10,Y,60646,Wildwood Park
Star Trek: Into Darkness,"1813, West Granville Avenue, Winchester-Hood Garden Homes, West Ridge, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",PG-13,2014,2014-08-26,Y,60660,Emmerson Park
The Hunger Games: Catching Fire,"360, East 90th Place, Chesterfield, Chatham, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",PG-13,2014,2014-07-20,Y,60619,Tuley Park
The Lego Movie,"West 102nd Place, Beverly, Chicago, Lake Township, Cook County, Illinois, 60643, United States",PG,2014,2014-08-14,Y,60643,Graver Park
Despicable Me 2,"354, East 85th Street, Garden Homes, Chatham, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",PG,2014,2014-07-07,Y,60619,Nat King Cole Park
42,"10527, South Morgan Street, Washington Heights, Chicago, Lake Township, Cook County, Illinois, 60643, United States",PG-13,2014,2014-07-17,Y,60643,Jackie Robinson Park
42,"1133, East 83rd Street, Pierces Park, Avalon Park, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",PG-13,2014,2014-07-25,Y,60619,Avalon Park
Gravity,"7400, North Washtenaw Avenue, West Ridge, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",PG-13,2014,2014-06-25,Y,60645,Rogers Park
Ghostbusters,"Glessner Center, 130, South Jefferson Street, West Loop Gate, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60661, United States",PG,2014,2014-08-05,Y,60606,Heritage Green Park
